event_name,page_url,header,agent,region,time,date,anonymous_id,itinerary_id,mongo_id,user_id
Page Viewed,https://pickyourtrail.com/login,pickyourtrail,"Mozilla/5.0 (Linux; Android 13; SM-S908E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:33 AM,23/03/23,596283f2-b2ef-49b5-b056-f2945d206304,,,
Page Viewed,https://pickyourtrail.com/login,pickyourtrail,"Mozilla/5.0 (Linux; Android 13; SM-S908E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:32 AM,23/03/23,596283f2-b2ef-49b5-b056-f2945d206304,,,
Page Viewed,https://pickyourtrail.com/account?tab=preferences,pickyourtrail,"Mozilla/5.0 (Linux; Android 13; SM-S908E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:32 AM,23/03/23,596283f2-b2ef-49b5-b056-f2945d206304,,,
Page Viewed,https://pickyourtrail.com/account?tab=preferences,pickyourtrail,"Mozilla/5.0 (Linux; Android 13; SM-S908E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:32 AM,23/03/23,596283f2-b2ef-49b5-b056-f2945d206304,,,
Page Viewed,https://pickyourtrail.com/,"Customized Holiday Packages, Honeymoon & Vacation Packages - Pickyourtrail.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:27 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:23 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Tooltip Closed,https://pickyourtrail.com/packages/the-exotic-13-day-honeymoon-itinerary-to-greece-and-italy,The exotic 13 day honeymoon itinerary to Greece and Italy,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,5:59:21 AM,23/03/23,3c57af57-2144-4127-8cea-955ab5ca73c3,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:21 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
uncosted_page_more clicked,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:21 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Tooltip Closed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:20 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:20 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Image Gallery Closed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/image-gallery/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:20 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour,pickyourtrail,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:19 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5/signup,pickyourtrail,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:17 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/packages/the-exotic-13-day-honeymoon-itinerary-to-greece-and-italy,pickyourtrail,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,5:59:17 AM,23/03/23,3c57af57-2144-4127-8cea-955ab5ca73c3,,,
Page Viewed,https://pickyourtrail.com/packages/the-fabulous-6-night-scandinavia-honeymoon-itinerary-for-those-in-love,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1 (compatible; AdsBot-Google-Mobile; +http://www.google.com/mobile/adsbot.html)",,5:59:14 AM,23/03/23,3af589d3-60a9-4e8d-8bcc-e0c691e9ca2e,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5/signup,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:12 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Itinerary Costing submitted,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:59:12 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/image-gallery/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:05 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/image-gallery/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:05 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:02 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Hotel Alternates Card Clicked,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764/details/892288,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:59:02 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour/get-cost/63021a623f7052000142fcf5,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:59 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Tooltip Closed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour,Customise & Book Now 4 nights 5 days Breathtaking Maldives leisure Family Tour,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:55 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/family-packages,International Family Tours: Customize & Book Family Holiday Packages,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/111.0.5563.72 Mobile/15E148 Safari/604.1",,5:58:47 AM,23/03/23,cae8564c-0ef6-4f6b-bfd5-dadf0e0c5fd4,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-5-days-breathtaking-maldives-leisure-family-tour,pickyourtrail,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:46 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/packages/the-spectacular-10-day-europe-honeymoon-itinerary-for-couples,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",,5:58:45 AM,23/03/23,1a60ada6-c4e9-4881-af99-9dcb01a39be8,,,
Page Viewed,https://pickyourtrail.com/family-packages?m=pl-gcm&itineraryId=632a9eb2c85b380001394f5a&n=10&rc=nz&name=Adorable+11+Days+Family+Travel+Package+to+New+Zealand&rn=New+Zealand,International Family Tours: Customize & Book Family Holiday Packages,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/111.0.5563.72 Mobile/15E148 Safari/604.1",,5:58:36 AM,23/03/23,cae8564c-0ef6-4f6b-bfd5-dadf0e0c5fd4,,,
vacation card selected,https://pickyourtrail.com/family-packages?durations=13_16&durations=9_12,International Family Tours: Customize & Book Family Holiday Packages,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/111.0.5563.72 Mobile/15E148 Safari/604.1",,5:58:35 AM,23/03/23,cae8564c-0ef6-4f6b-bfd5-dadf0e0c5fd4,,,
Page Viewed,https://pickyourtrail.com/holiday-packages/search,"Customized Holiday Packages, Honeymoon & Vacation Packages - Pickyourtrail.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:31 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/holiday-packages,"Customized Holiday Packages, Honeymoon & Vacation Packages - Pickyourtrail.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:30 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/packages/8-nights-9-days-dubai-tour-package-for-couple,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1 (compatible; AdsBot-Google-Mobile; +http://www.google.com/mobile/adsbot.html)",,5:58:29 AM,23/03/23,1631c160-2402-43d1-9bf5-603990a4a77f,,,
Page Viewed,https://pickyourtrail.com/packages/4-nights-and-5-days-vacation-to-maldives-package-from-kolkata,pickyourtrail,AdsBot-Google (+http://www.google.com/adsbot.html),,5:58:26 AM,23/03/23,6ce6aa23-e2fb-48c2-97b9-0ed57f65b113,,,
Page Viewed,https://pickyourtrail.com/,"Customized Holiday Packages, Honeymoon & Vacation Packages - Pickyourtrail.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",,5:58:25 AM,23/03/23,2c9b1bf8-7cd0-4d24-a5f5-3a77333a8575,,,
Page Viewed,https://pickyourtrail.com/us/customize/ity/inclusions/alternate-hotels/69_SEP_17Oct2023-23Oct2023/641b9beb73ec2e0001985764,10 nights to Rome and Venice 641b9beb73ec2e0001985764 | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.44",EUROPE,5:58:25 AM,23/03/23,570c0536-2f75-448d-86ab-b26b8f59bace,641b9beb73ec2e0001985764,641b9bea5c89210001c1cf37,
Page Viewed,https://pickyourtrail.com/us,Customised Vacation Packages - Book Couple Vacations from USA,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,5:58:22 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/itinerary/view/3633663139663461643764616637303030313663383337637c363431623038323430343363333530303031313066326436,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,5:58:20 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/us,Customised Vacation Packages - Book Couple Vacations from USA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/81.0.4044.92 Safari/537.36",,5:58:13 AM,23/03/23,17373573-beb1-42bd-b80e-17c034800b55,,,
Page Viewed,https://pickyourtrail.com/vacations/thailand,Thailand Tour Packages | Thailand Trip | Book Thailand Tours,"Mozilla/5.0 (Linux; Android 12; SM-F415F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",,5:58:11 AM,23/03/23,dac191fb-3ac4-471e-a4d3-60785d772eb5,,,
Page Viewed,https://pickyourtrail.com/vacations/thailand?m=pl-gcm&itineraryId=63bceb1ebf12620001609ed9&n=7&rc=tha&name=Thrilling+Thailand+Adventure+Packages&rn=Thailand,Thailand Tour Packages | Thailand Trip | Book Thailand Tours,"Mozilla/5.0 (Linux; Android 12; SM-F415F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",,5:58:07 AM,23/03/23,dac191fb-3ac4-471e-a4d3-60785d772eb5,,,
Page Viewed,https://pickyourtrail.com/,Cocogiri Island Resort Maldives - Pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",Maldives,5:58:07 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,641b0824043c35000110f2d6,63f19f4ad7daf700016c837c,7905837970
vacation card selected,https://pickyourtrail.com/vacations/thailand,Thailand Tour Packages | Thailand Trip | Book Thailand Tours,"Mozilla/5.0 (Linux; Android 12; SM-F415F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",,5:58:06 AM,23/03/23,dac191fb-3ac4-471e-a4d3-60785d772eb5,,,
Page Viewed,https://pickyourtrail.com/vacations/maldives?utm_source=google&utm_medium=cpc&utm_campaign=Google_Maldives_Performance_Max&utm_keyword=&utm_content=17915103527&utm_feeditemid=&utm_targetid=&utm_creative=&utm_adposition=&gclid=CjwKCAjwzuqgBhAcEiwAdj5dRrrAOmrl_qtqpjmGaJvtGCRDeG3_UgVTsqYbae0FwWTIw9uva_mjGBoCwSIQAvD_BwE,Maldives Tour Packages | Book Maldives Packages from India,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",,5:58:03 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,,641b9c7a73ec2e000198591b,8851891327
RESORT_COSTED,https://pickyourtrail.com/customize/mle/inclusions/641b0824043c35000110f2d6,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",Maldives,5:58:03 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,641b0824043c35000110f2d6,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/vacations/maldives?m=pl-gcm&itineraryId=633ab9ba8f42710001263ee5&n=4&rc=mle&name=Lose+yourself+in+dreamy+Paradise+Island+Resort+Maldives&rn=Maldives,Maldives Tour Packages | Book Maldives Packages from India,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",,5:58:02 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,,641b9c7a73ec2e000198591b,8851891327
Page Viewed,https://pickyourtrail.com/customize/mle/inclusions/641b0824043c35000110f2d6,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",Maldives,5:58:02 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,641b0824043c35000110f2d6,63f19f4ad7daf700016c837c,7905837970
Itinerary Created,https://pickyourtrail.com/customize/region/view/641b0824043c35000110f2d6,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,5:58:01 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/customize/region/view/641b0824043c35000110f2d6,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,5:58:00 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/itinerary/view/3633663139663461643764616637303030313663383337637c363431623038323430343363333530303031313066326436,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,5:57:59 AM,23/03/23,6d00804c-6a82-4a98-b0a9-5ad8073a885a,,63f19f4ad7daf700016c837c,7905837970
Page Viewed,https://pickyourtrail.com/customize/mle/inclusions/641b9c7b043c35000114928d,4 nights to Maldives 641b9c7b043c35000114928d | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",VANILLA,5:57:56 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,641b9c7b043c35000114928d,641b9c7a73ec2e000198591b,8851891327
Page Viewed,https://pickyourtrail.com/customize/mle/view/641b9c7b043c35000114928d,4 nights to Maldives 641b9c7b043c35000114928d | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",VANILLA,5:57:56 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,641b9c7b043c35000114928d,641b9c7a73ec2e000198591b,8851891327
Page Viewed,https://pickyourtrail.com/customize/mle/inclusions/641b9c7b043c35000114928d,4 nights to Maldives 641b9c7b043c35000114928d | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",VANILLA,5:57:56 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,641b9c7b043c35000114928d,641b9c7a73ec2e000198591b,8851891327
Page Viewed,https://pickyourtrail.com/customize/mle/inclusions/hotel-details/49_SEP_30Mar2023-03Apr2023/641b9c7b043c35000114928d,4 nights to Maldives 641b9c7b043c35000114928d | Book Now,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",VANILLA,5:57:56 AM,23/03/23,87f11e6f-7a10-4df6-a41f-c1c707398f17,641b9c7b043c35000114928d,641b9c7a73ec2e000198591b,8851891327
